"species","corrected","family"
"Veronica serpyllifolia","Veronica serpyllifolia","Plantaginaceae"
"Veronica verna","Veronica verna","Plantaginaceae"
"Vicia angustifolia","Vicia angustifolia","Fabaceae"
"Vicia cracca","Vicia cracca","Fabaceae"
"Vicia hirsuta","Vicia hirsuta","Fabaceae"
"Vicia lathyroides","Vicia lathyroides","Fabaceae"
"Vicia sativa","Vicia sativa","Fabaceae"
"Vicia sepium","Vicia sepium","Fabaceae"
"Vicia sp.","Vicia","Fabaceae"
"Vicia tetrasperma","Vicia tetrasperma","Fabaceae"
"Viola arvensis","Viola arvensis","Violaceae"
"Viola biflora","Viola biflora","Violaceae"
"Viola nuttallii","Viola nuttallii","Violaceae"
"Viola sp.","Viola","Violaceae"
"Vitis sp.","Vitis","Vitaceae"
"Vulpia muralis","Festuca muralis","Poaceae"
"Vulpia myuros","Festuca myuros","Poaceae"
"Vulpia octoflora","Festuca octoflora","Poaceae"
"Vulpia sp.","Vulpia","Poaceae"
"Waitzia acuminata","Waitzia acuminata","Asteraceae"
"Zinnia grandiflora","Zinnia grandiflora","Asteraceae"
